Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
90	317	0	0.603961918	101325.631	101325.603	101325.199	101325.706	0.117651225	0	0	0	455.738	0	0	3
91	320	0	0.610672606	101325.63	101325.609	101325.246	101325.706	0.12140193	0	0	0	455.442	0	0	3
92	323	0	0.617383294	101325.629	101325.608	101325.246	101325.706	0.12140193	0	0	0	455.524	0	0	3
93	327	0	0.624093982	101325.628	101325.613	101325.327	101325.706	0.122641453	0	0	0	455.604	0	0	3
94	330	0	0.63080467	101325.628	101325.612	101325.327	101325.696	0.122641453	0	0	0	455.011	0	0	3
95	333	0	0.637515358	101325.627	101325.616	101325.401	101325.696	0.121312309	0	0	0	455.203	0	0	3
96	336	0	0.644226046	101325.627	101325.615	101325.401	101325.696	0.121312309	0	0	0	455.131	0	0	3
97	340	0	0.650936734	101325.627	101325.618	101325.426	101325.696	0.119245856	0	0	0	454.6	0	0	3
98	343	0	0.657647422	101325.628	101325.618	101325.426	101325.696	0.119245856	0	0	0	454.448	0	0	3
99	346	0	0.66435811	101325.627	101325.62	101325.502	101325.696	0.114821521	0	0	0	454.463	0	0	3
100	350	0	0.671068798	101325.627	101325.62	101325.502	101325.696	0.114821521	0	0	0	454.031	0	0	3
101	355	0	0.677779486	101325.628	101325.622	101325.554	101325.696	0.109541112	0	0	0	454.251	0	0	3
102	358	0	0.684490174	101325.628	101325.621	101325.554	101325.696	0.107027715	0	0	0	454.001	0	0	3
103	361	0	0.691200862	101325.628	101325.621	101325.554	101325.696	0.100760649	0	0	0	453.581	0	0	3
104	365	0	0.69791155	101325.628	101325.621	101325.554	101325.694	0.0966236416	0	0	0	453.469	0	0	3
105	368	0	0.704622238	101325.628	101325.62	101325.554	101325.694	0.0911845041	0	0	0	453.363	0	0	3
106	371	0	0.711332926	101325.628	101325.619	101325.554	101325.67	0.0869060129	0	0	0	452.936	0	0	3
107	374	0	0.718043614	101325.628	101325.619	101325.554	101325.67	0.0827975003	0	0	0	453.014	0	0	3
108	378	0	0.724754302	101325.628	101325.618	101325.554	101325.646	0.0796545163	0	0	0	452.809	0	0	3
109	381	0	0.73146499	101325.628	101325.618	101325.554	101325.64	0.0771347347	0	0	0	452.446	0	0	3
110	384	0	0.738175678	101325.628	101325.618	101325.554	101325.64	0.0753195395	0	0	0	452.606	0	0	3
111	387	0	0.744886365	101325.628	101325.618	101325.554	101325.64	0.0742397465	0	0	0	452.897	0	0	3
112	390	0	0.751597053	101325.627	101325.619	101325.554	101325.64	0.0736218984	0	0	0	452.74	0	0	3
113	394	0	0.758307741	101325.627	101325.62	101325.554	101325.64	0.0733299232	0	0	0	452.919	0	0	3
114	397	0	0.765018429	101325.627	101325.621	101325.554	101325.64	0.0731764545	0	0	0	453.063	0	0	3
115	400	0	0.771729117	101325.626	101325.622	101325.555	101325.64	0.0730104632	0	0	0	452.887	0	0	3
116	403	0	0.778439805	101325.627	101325.622	101325.559	101325.64	0.0736758188	0	0	0	452.887	0	0	3
117	407	0	0.785150493	101325.627	101325.623	101325.561	101325.64	0.0743007098	0	0	0	453.131	0	0	3
118	410	0	0.791861181	101325.626	101325.624	101325.565	101325.64	0.0747995409	0	0	0	452.677	0	0	3
119	413	0	0.798571869	101325.626	101325.625	101325.569	101325.64	0.0711235175	0	0	0	453.149	0	0	3
120	416	0	0.805282557	101325.626	101325.626	101325.574	101325.64	0.0663044557	0	0	0	453.198	0	0	3
121	420	0	0.811993245	101325.625	101325.627	101325.581	101325.64	0.0594484265	0	0	0	452.532	0	0	3
122	423	0	0.818703933	101325.626	101325.627	101325.589	101325.64	0.0511171811	0	0	0	452.906	0	0	3
123	426	0	0.825414621	101325.625	101325.628	101325.596	101325.64	0.0439388284	0	0	0	452.846	0	0	3
124	429	0	0.832125309	101325.625	101325.628	101325.602	101325.64	0.0381855927	0	0	0	452.95	0	0	3
125	433	0	0.838835997	101325.625	101325.628	101325.606	101325.64	0.0347597787	0	0	0	452.814	0	0	3
126	436	0	0.845546685	101325.624	101325.629	101325.611	101325.64	0.0294190462	0	0	0	453.502	0	0	3
127	439	0	0.852257373	101325.624	101325.629	101325.612	101325.64	0.0281663097	0	0	0	453.465	0	0	3
128	442	0	0.858968061	101325.624	101325.629	101325.612	101325.64	0.0281663097	0	0	0	453.265	0	0	3
129	446	0	0.865678749	101325.623	101325.629	101325.612	101325.64	0.0281663097	0	0	0	453.218	0	0	3
130	449	0	0.872389437	101325.622	101325.629	101325.612	101325.64	0.0281663097	0	0	0	452.207	0	0	3
131	452	0	0.879100125	101325.622	101325.628	101325.612	101325.64	0.0281663097	0	0	0	451.916	0	0	3
132	455	0	0.885810813	101325.622	101325.628	101325.612	101325.64	0.0281663097	0	0	0	452.282	0	0	3
133	458	0	0.892521501	101325.62	101325.628	101325.612	101325.64	0.0281663097	0	0	0	452.301	0	0	3
134	462	0	0.899232189	101325.62	101325.628	101325.612	101325.64	0.0281663097	0	0	0	452.132	0	0	3
135	465	0	0.905942877	101325.62	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.309	0	0	3
136	468	0	0.912653565	101325.619	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.321	0	0	3
137	471	0	0.919364253	101325.619	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.627	0	0	3
138	474	0	0.926074941	101325.619	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.936	0	0	3
139	478	0	0.932785629	101325.618	101325.627	101325.612	101325.64	0.0281663097	0	0	0	453.169	0	0	3
140	481	0	0.939496317	101325.618	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.551	0	0	3
141	484	0	0.946207005	101325.617	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.783	0	0	3
142	487	0	0.952917693	101325.617	101325.627	101325.612	101325.64	0.0281663097	0	0	0	452.844	0	0	3
143	491	0	0.959628381	101325.617	101325.627	101325.615	101325.64	0.0252880024	0	0	0	453.06	0	0	3
144	494	0	0.966339069	101325.616	101325.627	101325.616	101325.64	0.0242297654	0	0	0	453.071	0	0	3
145	497	0	0.973049757	101325.615	101325.627	101325.615	101325.64	0.025377253	0	0	0	453.292	0	0	3
146	500	0	0.979760445	101325.616	101325.627	101325.615	101325.64	0.025377253	0	0	0	452.921	0	0	3
